View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,COM,0,1,SingleQuestion,"On your project you are constantly involved in managing stakeholders` expectations to satisfy their needs and resolve issues. In this context, all the following are relevant outputs EXCEPT:",,,[Qno: PML_2118] >> Communication requirement analysis is tool and technique of plan communication,,,,
,,,,,,1, Communications requirements analysis,,,,,
,,,,,,, Organization process assets updates,,,,,
,,,,,,, Change requests,,,,,
,,,,,,, Project management plan updates,,,,,
Radio,COM,0,1,SingleQuestion,A process in which you identify all people or organizations impacted by the project is,,,[Qno: PML_2252] >> ,,,,
,,,,,,,Identify Project Team,,,,,
,,,,,,,Manage stakeholder expectations,,,,,
,,,,,,1,Identify Stakeholders,,,,,
,,,,,,,Reports performance,,,,,
Radio,COM,0,1,SingleQuestion,"This week you have been assigned trouble project, where schedule is 50% behind the plan and project manager has left the organization. After evaluation, you discovered that the project is running far behind schedule the schedule then reported by previous project manager. However, the sponsor has been told that the project is on schedule. What is the BEST course of action you will take?",,,[Qno: PML_2291] >> ,,,,
,,,,,,,Add new resource to the project and complete the project on schedule.,,,,,
,,,,,,1,Show your finding and evaluation to sponsor.,,,,,
,,,,,,,Ask your senior manager to deal with this.,,,,,
,,,,,,,Turn the project back to the previous project manager.,,,,,
Radio,COM,0,1,SingleQuestion,You have been assigned as the project manager in the middle of the project but the customer is not happy with the performance of the project. What is the FIRST thing you should do?,,,[Qno: PML_2300] >> ,,,,
,,,,,,,Under the performance criteria from the project plan and achieve those,,,,,
,,,,,,1,Talk to customer and understand his concerns.,,,,,
,,,,,,,"Ignore the customer, it is bound to happen sometimes in project lifecycle.",,,,,
,,,,,,,Leave the project and ask your manager to assign another project.,,,,,
Radio,COM,0,1,SingleQuestion,"In which process are you applying following Tools & Techniques: Communication requirements analysis, Communication technology, Communication models, Communication methods.",,,[Qno: PML_2580] >> ,,,,
,,,,,,1,Plan Communications,,,,,
,,,,,,,Distribute Information,,,,,
,,,,,,,Manage Stakeholder Expectations,,,,,
,,,,,,,Report Perform,,,,,
Radio,COM,0,1,SingleQuestion,"Your inputs are Project management plan, Performance reports, and Organizational process assets. Which process are you performing?",,,[Qno: PML_2583] >> ,,,,
,,,,,,,Identify Stakeholder,,,,,
,,,,,,,Plan Communications,,,,,
,,,,,,,Distribute Information,,,,,
,,,,,,1,Manage Stakeholder Expectations,,,,,
Radio,COM,0,1,SingleQuestion,Which are the Tools & Techniques of Report Performance?,,,[Qno: PML_2584] >> ,,,,
,,,,,,,"Variance analysis, Communication models, Communication methods, Reporting system.",,,,,
,,,,,,,"Variance analysis, Forecasting methods, Communication technology, Reporting system.",,,,,
,,,,,,1,"Variance analysis, Forecasting methods, Communication methods, Reporting system.",,,,,
,,,,,,,"Variance analysis, Interpersonal skills, Forecasting methods, Reporting system.",,,,,
Radio,COM,0,1,SingleQuestion,"In what process you need Project Charter, Procurements documents, Enterprise environmental factors, Organizational process assets as input,  one of your Tools & Techniques is Expert judgement. ",,,[Qno: PML_2585] >> ,,,,
,,,,,,1,Identify Stakeholders,,,,,
,,,,,,,Plan Communications,,,,,
,,,,,,,Distribute Information,,,,,
,,,,,,,Manage Stakeholder Expectations,,,,,
Radio,COM,0,1,SingleQuestion,"In Project Communications Management, one process has only one output named as Organizational process assets updates. What is the name of that process?",,,[Qno: PML_2586] >> ,,,,
,,,,,,,Plan Communications,,,,,
,,,,,,1,Distribute Information,,,,,
,,,,,,,Manage Stakeholder Expectations,,,,,
,,,,,,,Report Performance,,,,,
Radio,COM,0,1,SingleQuestion,"Processes required to ensure timely and appropriate generation, collection, dissemination, storage and ultimate disposition of project information are part of",,,[Qno: PML_2718] >> ,,,,
,,,,,,,Manage Stakeholder Expectations,,,,,
,,,,,,1,Project communication management,,,,,
,,,,,,,Project quality control,,,,,
,,,,,,,Project quality assurance,,,,,
Radio,COM,0,1,SingleQuestion,A meeting held to assess project status or progress is called,,,[Qno: PML_2724] >> ,,,,
,,,,,,,Audit reviews,,,,,
,,,,,,1,Performance reviews,,,,,
,,,,,,,Management reviews,,,,,
,,,,,,,Progress informational update meetings,,,,,
Radio,COM,0,1,SingleQuestion,Except ----- all other are tools and techniques for report performance process,,,[Qno: PML_2727] >> ,,,,
,,,,,,,Variance analysis,,,,,
,,,,,,,Forecasting methods,,,,,
,,,,,,,Communication methods,,,,,
,,,,,,1,Interpersonal skills,,,,,
Radio,FW,0,1,SingleQuestion,"""Temporary"" in relation with project management means:",,,[Qno: PML_127] >> ,,,,
,,,,,,,The product or service created by the project is temporary utilized.,,,,,
,,,,,,,A short duration.,,,,,
,,,,,,1,A definite beginning and end.,,,,,
,,,,,,,Temporary staff assignments.,,,,,
Radio,FW,0,1,SingleQuestion,"Four constraints of a project are time, cost, scope and risk. What is the fifth constraint?",,,[Qno: PML_519] >> Resource is related to skill required to complete the work.,,,,
,,,,,,,Money,,,,,
,,,,,,1,Resource,,,,,
,,,,,,,Infrastructure,,,,,
,,,,,,,Capability,,,,,
Radio,FW,0,1,SingleQuestion,In a recent meeting of project managers your CEO who is PMP emphasized that A facilitator should----,,,[Qno: PML_534] >> ,,,,
,,,,,,,be in full control of the discussion and its outcomes.,,,,,
,,,,,,,always take notes by herself.,,,,,
,,,,,,,avoid a flip chart Parking lot.,,,,,
,,,,,,1,give guidance as required without interfering.,,,,,
Radio,FW,0,1,SingleQuestion,"In project initiating process group, which statement describes best handling of the assumptions",,,"[Qno: PML_538] >> PMBOK(r) Guide 4th Edition, pages 77 and 78 (outputs of process Develop project charter).",,,,
,,,,,,,"It is the responsibility of the presales person, so don&rsquo;t bother about it",,,,,
,,,,,,,Managing and organizing assumptions means avoiding risks right from the start of the project.,,,,,
,,,,,,1,"Organizational, environmental and external assumptions should be addressed in the project charter.",,,,,
,,,,,,,Assumptions are sign for risk which will come when project will be executed. So you can wait till risk planning phase start.,,,,,
Radio,FW,0,1,SingleQuestion,Constraints do not include,,,"[Qno: PML_859] >> Impacts of local strike is outcome of Constraint ""Political Condition""",,,,
,,,,,,1,Impacts of local strike,,,,,
,,,,,,,Collective bargaining,,,,,
,,,,,,,Organizational structure of the performing organization,,,,,
,,,,,,,Expected staff assignments,,,,,
Radio,FW,0,1,SingleQuestion,Which of the following is NOT true,,,[Qno: PML_1071] >> ,,,,
,,,,,,,Project phases are marked by completion of one or more deliverables,,,,,
,,,,,,,The project life cycle serves to define the beginning and end of a project,,,,,
,,,,,,,The project life cycle definition determines whether the feasibility study is treated as the first phase of the project or as a separate stand-alone project,,,,,
,,,,,,1,Project phases in a project are always sequential,,,,,
Radio,FW,0,1,SingleQuestion,Which of the following are NOT all examples of project documents?,,,[Qno: PML_1261] >> Everything except Scope Baseline is project document. Scope baseline is part of Project Management Plan <BR>PMBOK(r) Guide p 350,,,,
,,,,,,,"Activity List, Stakeholder Register, Forecasts",,,,,
,,,,,,,"Teaming Agreements, Risk Register, Quality Metrics",,,,,
,,,,,,,"SOW, Basis of Estimates, Resource Requirements",,,,,
,,,,,,1,"Scope Baseline, Project Funding Requirements, Stakeholder Requirements",,,,,
Radio,FW,0,1,SingleQuestion,You are managing a large project divided into many subprojects. What should you do at the start of each subproject?,,,[Qno: PML_1331] >> When project is divided into multiple subprojects. You must conduct project initiation meeting at the start of subproject and identify stakeholders the new subproject.,,,,
,,,,,,,"Make sure you don&rsquo;t involve the team, to avoid the confusion of too many initiation meeting.",,,,,
,,,,,,1,Identify the stakeholders,,,,,
,,,,,,,Use the Earned Value Technique to identify the earned value of next phase,,,,,
,,,,,,,Release all resources from the project and contact sellers that it will take some time to start the next phase.,,,,,
Radio,FW,0,1,SingleQuestion,All the following happen in the Initiating process with the exception of:,,,"[Qno: PML_1472] >> Choosing the project team is a Planning group activity. PMBOK(r) Guide 4th Edition, p. 53",,,,
,,,,,,, Determine stakeholders ,,,,,
,,,,,,, Identify processes and standards,,,,,
,,,,,,1, Choose the project team,,,,,
,,,,,,, Create the project charter,,,,,
Radio,FW,0,1,SingleQuestion,Projects are undertaken at all levels of the organization?,,,[Qno: PML_1879] >> ,,,,
,,,,,,1,True,,,,,
,,,,,,,False,,,,,
,,,,,,,Both True and False,,,,,
,,,,,,,Neither true nor false,,,,,
Radio,FW,0,1,SingleQuestion,You have been managing a project to construct a flyover in Delhi. You have divided the project into phases to provide better management control. Which of the following is a characteristic of a project phase?,,,[Qno: PML_2050] >> ,,,,
,,,,,,, Formal phase completion necessarily includes authorization for the subsequent phase.,,,,,
,,,,,,," A project phase should not be divided into sub-phases even in complex projects, because it will be difficult to manage.",,,,,
,,,,,,, All deliverables in the project phase should correspond to the project management process.,,,,,
,,,,,,1, A project phase can be closed with a decision not to initiate the subsequent phase.,,,,,
Radio,FW,0,1,SingleQuestion,Which of the following is not a Project Management Knowledge Area?,,,[Qno: PML_2072] >> ,,,,
,,,,,,1, Project Configuration Management,,,,,
,,,,,,, Project Integration Management,,,,,
,,,,,,, Project Procurement Management,,,,,
,,,,,,, Project Communications Management,,,,,
Radio,FW,0,1,SingleQuestion,You are responsible for managing a project in your company but you have least authority and have to constantly report to a marketing general manager. What is your company&rsquo;s org structure?,,,[Qno: PML_2083] >> ,,,,
,,,,,,, Matrix,,,,,
,,,,,,, Projectized,,,,,
,,,,,,, Balanced,,,,,
,,,,,,1, Functional,,,,,
Radio,FW,0,1,SingleQuestion,"You are a project manager in real estate company, which has a projectized organizational structure. In this context, all of the following are true, EXCEPT:",,,[Qno: PML_2093] >> ,,,,
,,,,,,1,After a project is completed team members have to go on bench.,,,,,
,,,,,,,Team members are often co-located.,,,,,
,,,,,,,You have a great deal of authority and independence.,,,,,
,,,,,,,Organizational supporting units also reports to you,,,,,
Radio,FW,0,1,SingleQuestion,Which of the following project management process group gets MOST of a project&rsquo;s budget expended?,,,[Qno: PML_2292] >> Expenditure depends upon number of activities. Number of activities are highest in Execution process group followed by Planning process group,,,,
,,,,,,1,Project Executing,,,,,
,,,,,,,Project Planning,,,,,
,,,,,,,Project Closing,,,,,
,,,,,,,Project Monitoring,,,,,
Radio,FW,0,1,SingleQuestion,In an interview you asked PMP certified project manager that what is the most important characteristics of project manager. He replied that he should be,,,"[Qno: PML_2486] >> In the project management context, integration includes characteristics of unification, consolidation, articulation, and integrative actions that are crucial to project completion, successfully managing stakeholder expectations, and meeting requirements. Reference: PMBOK(r) Guide Fourth Edition, Page 71 The most important characteristic of a project manager is being an integrator who can manage all the different interfaces of the project. The project manager should also be a good communicator, because a project manager usually spends more than 90% of her time communicating with different project stakeholders.",,,,
,,,,,,,Integrator,,,,,
,,,,,,1,Subject matter expert,,,,,
,,,,,,,Champion on the project,,,,,
,,,,,,,Risk minimizer,,,,,
Radio,FW,0,1,SingleQuestion,What are the characteristics of a functional structured organization,,,[Qno: PML_2710] >> ,,,,
,,,,,,1,Difficult to prioritize multiple projects,,,,,
,,,,,,,Broad span of control,,,,,
,,,,,,,Project manager has the most formal authority,,,,,
,,,,,,,All of the above,,,,,
Radio,FW,0,1,SingleQuestion,The project expediter,,,[Qno: PML_2711] >> ,,,,
,,,,,,,Can assign work to individuals in the functional organization,,,,,
,,,,,,,Is communication channel between upper management and the team,,,,,
,,,,,,1,Acts mainly as a facilitator,,,,,
,,,,,,,All the above,,,,,
Radio,FW,0,1,SingleQuestion,Which organization structure in used in large organizations,,,[Qno: PML_2713] >> ,,,,
,,,,,,,Functional,,,,,
,,,,,,,Strong matrix,,,,,
,,,,,,,Projectized,,,,,
,,,,,,1,Combination of the above,,,,,
Radio,FW,0,1,SingleQuestion,"Assuming that the phases in a project are risk assessment, concept, development, implementation and Closure, which phase typically has the highest degree of uncertainty?",,,[Qno: PML_2746] >> Earlier phases in a project always has the greatest degree of uncertainty because at this point in time the product is not defined well.,,,,
,,,,,,1,Concept,,,,,
,,,,,,,Development,,,,,
,,,,,,,Implementation,,,,,
,,,,,,,Closure,,,,,
Radio,FW,0,1,SingleQuestion,There are certain transitional actions at the end of a project which links the project to the ongoing operations of the performing organization. The actions are defined in,,,[Qno: PML_2750] >> ,,,,
,,,,,,1,the project life cycle definition.,,,,,
,,,,,,,the project management methodology.,,,,,
,,,,,,,the closing phase templates.,,,,,
,,,,,,,the organizational business plan.,,,,,
Radio,FW,0,1,SingleQuestion,Risks that occur near the end of project execution are characterized as being,,,[Qno: PML_2755] >> ,,,,
,,,,,,1,less in numbers but higher in impact than at any other time in the project life-cycle.,,,,,
,,,,,,,more in numbers and higher in impact than at any other time in the project life-cycle.,,,,,
,,,,,,,more in numbers and lower in impact than at any other time in the project life-cycle.,,,,,
,,,,,,,less in numbers and lower in impact than at any other time in the project life-cycle.,,,,,
Radio,HM,0,1,SingleQuestion,Today is your second day on the project as project manager and you found that there is strong disagreement between functional consultant and technical consultant on a certain topic. What do you think about conflicts?,,,"[Qno: PML_517] >> PMBOK(r) Guide 4th Edition, page 239, 2nd paragraph.",,,,
,,,,,,,Conflicts distract the team and disrupt the work rhythm. You should always smooth them when they surface.,,,,,
,,,,,,,You should use your coercive power to quickly resolve conflicts and then focus on goal achievement.,,,,,
,,,,,,,Conflict is bad and you should ask parties that they should withdraw it as soon as possible.,,,,,
,,,,,,1,"Conflict is good, it gives opportunities to understand each other&rsquo;s point of view. Conflict should be addressed early and usually in private, using a direct, confrontation approach.",,,,,
Radio,HM,0,1,SingleQuestion,What should managers consider before conducting a performance-evaluation interview with a project team member? ,,,"[Qno: PML_537] >> PMBOK(r) Guide 4th Edition, page 417; Diane Arthur, Successful Interviewing, page 154, ",,,,
,,,,,,,How to avoid those points which are related to team member&rsquo;s low performance. Because it will lead to conflict,,,,,
,,,,,,1,Has the employee been provided with sufficient instructions and work tools?,,,,,
,,,,,,,How can discussion of the manager&rsquo;s leadership style be avoided?,,,,,
,,,,,,,How can dispute related to unsatisfactory performance be avoided?,,,,,
Radio,HM,0,1,SingleQuestion,Key Management skills include,,,[Qno: PML_848] >> All options are key management skills.,,,,
,,,,,,,Communicating,,,,,
,,,,,,,Negotiating,,,,,
,,,,,,,Leading,,,,,
,,,,,,1,All of the above,,,,,
