View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
,,,,,,,Resource rates,,,,,
Radio,CM,0,1,SingleQuestion,Which type of depreciation has the least tax advantage?,,,[Qno: PML_2679] >> Tax advantage is more if there is more deprecation in early ages. For tax advantage best method is double declining balance followed by sum of year digits and then straight line. Salvage value is calculated in all methods.,,,,
,,,,,,1,Straight line,,,,,
,,,,,,,Double declining balance,,,,,
,,,,,,,Sum of years digits,,,,,
,,,,,,,Salvage value,,,,,
Radio,CM,0,1,SingleQuestion,What is the formula for calculating cumulative CPI?,,,[Qno: PML_2680] >> ,,,,
,,,,,,,Sum of the phase wise AC/ Sum of the phase wise EV,,,,,
,,,,,,,Sum of the phase wise PV/ Sum of the phase wise EV,,,,,
,,,,,,1,Sum of the phase wise EV/ Sum of the total actual cost,,,,,
,,,,,,,Sum of the phase wise EV/ Sum of the phase wise PV,,,,,
Radio,CM,0,1,SingleQuestion,You are working on a commercial project for which client has provided some confidential information to complete the prject. You are also working as a research student with a research institute and this information is very helpful in completing your research. In order to use this information you should ,,,[Qno: PML_2729] >> ,,,,
,,,,,,,Use the information after removing the names of the client resources,,,,,
,,,,,,1,Contact client and seek permission for disclosing it for research purpose,,,,,
,,,,,,,Use high level information only so that sourced cannot be identified,,,,,
,,,,,,,Use the information as it is after all this is research work which is foundation of future growth of society .,,,,,
Radio,CM,0,1,SingleQuestion,The difference between Verify Scope and Perform Quality Control is?,,,[Qno: PML_2730] >> ,,,,
,,,,,,,Scope verification is concerned with ensuring that changes are useful but quality control is concerned that the overall work results are correct.,,,,,
,,,,,,1,Scope verification is primarily concerned with the acceptance of work results but quality control is primarily concerned with the correctness of work results.,,,,,
,,,,,,,Scope verification is primarily concerned with correctness of work results but quality control is primarily concerned with acceptance of work results.,,,,,
,,,,,,,Scope verification is verification and scope control is validation activity.,,,,,
Radio,CM,0,1,SingleQuestion,A period of time in work weeks which includes non-working days is called,,,[Qno: PML_2731] >> ,,,,
,,,,,,,Duration.,,,,,
,,,,,,1,Elapsed Time.,,,,,
,,,,,,,Earned Time.,,,,,
,,,,,,,Effort.,,,,,
Radio,CM,0,1,SingleQuestion,Senior management asks the project manager how the project will be affected if he has to use quality B of the material (resource) to complete the project. To calculate the response project manager should apply -------- tool and technique :,,,[Qno: PML_2732] >> ,,,,
,,,,,,1,What if scenario analysis,,,,,
,,,,,,,Resource leveling,,,,,
,,,,,,,Alternative Identification,,,,,
,,,,,,,Schedule compression,,,,,
Radio,CM,0,1,SingleQuestion,The amount of funds available for the company to invest in projects is called:,,,[Qno: PML_2733] >> ,,,,
,,,,,,,Direct costs,,,,,
,,,,,,,Opportunity costs,,,,,
,,,,,,1,Working capital,,,,,
,,,,,,,Net Present Value,,,,,
Radio,CM,0,1,SingleQuestion,Historical relationship is one of the tool and technique in cost management knowledge area process. What is the meaning of this,,,[Qno: PML_2734] >> ,,,,
,,,,,,,It is like organizational process assets,,,,,
,,,,,,,It is like expert judgement,,,,,
,,,,,,1,It is like mathematical model developed to predict cost and it is developed using project characteristics,,,,,
,,,,,,,Historical relationship is part of organization process assets and it is input to determine budget process.,,,,,
Radio,CM,0,1,SingleQuestion,Make-or-buy decision is a output of which process?,,,[Qno: PML_2735] >> ,,,,
,,,,,,,Conduct Procurement,,,,,
,,,,,,,Close Procurement,,,,,
,,,,,,1,Plan Procurement,,,,,
,,,,,,,Administer Procurement,,,,,
Radio,CM,0,1,SingleQuestion,"A risk of significant development delays due to working with a new supplier has been evaluated as having a 50% probability and potentially cost run of $ 20,000. The expected value for this risk is:",,,[Qno: PML_2736] >> ,,,,
,,,,,,1,"$ 10,000",,,,,
,,,,,,,$ 400,,,,,
,,,,,,,"$ 2,500",,,,,
,,,,,,,"$ 20,000",,,,,
Radio,CM,0,1,SingleQuestion,"You project team is experiencing increasing levels of conflict due to poor communication, which of the following is least likely to improve this situation?",,,[Qno: PML_2737] >> ,,,,
,,,,,,,Encouraging the team to play some sport on weekends.,,,,,
,,,,,,,Interact with team members to identify the source(s) of the conflict.,,,,,
,,,,,,,Scheduling an off-site team building workshop.,,,,,
,,,,,,1,Shifting the time of project status meetings,,,,,
Radio,CM,0,1,SingleQuestion,Following are non-proprietary quality management tools except,,,[Qno: PML_2738] >> ,,,,
,,,,,,,TQM,,,,,
,,,,,,,Six Sigma,,,,,
,,,,,,,FMEA,,,,,
,,,,,,1,Crosby,,,,,
Radio,CM,0,1,SingleQuestion,FMEA (Failure mode and effect analysis) is ,,,[Qno: PML_2739] >> ,,,,
,,,,,,,Risk management approach,,,,,
,,,,,,1,Quality management approach,,,,,
,,,,,,,Disaster management approach,,,,,
,,,,,,,Type of fishbone diagram,,,,,
Radio,COM,0,1,SingleQuestion,All of the following are tools & techniques of Manage Stakeholder Expectations except:,,,[Qno: PML_111] >> Stakeholder analysis is Tool and Technique of Identify Stakeholder process,,,,
,,,,,,,Communication Technology,,,,,
,,,,,,,Interpersonal skills,,,,,
,,,,,,,Management skills,,,,,
,,,,,,1,Stakeholder analysis,,,,,
Radio,COM,0,1,SingleQuestion,When do you perform stakeholder analysis?,,,[Qno: PML_1139] >> Identify Stakeholders is one of the processes in the Communications Management knowledge area. Stakeholder Analysis is one of the tools and techniques of the Identify Stakeholders process. The goal of stakeholder analysis is to write down the needs of your stakeholders. ,,,,
,,,,,,,When developing the project charter,,,,,
,,,,,,,When creating the project management plan,,,,,
,,,,,,,When putting changes through change control,,,,,
,,,,,,1,When managing communications on your project,,,,,
Radio,COM,0,1,SingleQuestion, The stakeholder analysis matrix is part of what process?,,,"[Qno: PML_1383] >> It is part of the Stakeholder Management Strategy which is output of Identify Stakeholders. PMBOK(r) Guide 4th Edition, p. 251",,,,
,,,,,,,Plan Communications,,,,,
,,,,,,1,Identify stakeholders,,,,,
,,,,,,,Stakeholder register ,,,,,
,,,,,,,Performance Reporting,,,,,
Radio,COM,0,1,SingleQuestion,What percentage of the message contained in email is actually understood by the recipients?,,,"[Qno: PML_1423] >> Albert Mehrabian showed in his Paralingual studies that only 7% of the message is contained in the words. 38% is contained in the vocal pitch and tone, 55% is contained in the body language is understood by the people.",,,,
,,,,,,, 55%.,,,,,
,,,,,,1, 7%.,,,,,
,,,,,,,38%.,,,,,
,,,,,,, 93%.,,,,,
Radio,COM,0,1,SingleQuestion,The sender of a message is responsible for:,,,[Qno: PML_1810] >> ,,,,
,,,,,,1,Confirming the message is understood,,,,,
,,,,,,,Ensuring the receiver agrees with the message,,,,,
,,,,,,,Scheduling communication exchange,,,,,
,,,,,,,Presenting the message in the most agreeable manner,,,,,
Radio,COM,0,1,SingleQuestion,In a basic communication model what is not expected?,,,[Qno: PML_2023] >> Receiver may disagree as well.,,,,
,,,,,,1,Receiver should agree with the message sent by the sender.,,,,,
,,,,,,,Noise should be minimized.,,,,,
,,,,,,,Receiver must decode and reply to the message.,,,,,
,,,,,,, Receiver should send a feedback message to the sender.,,,,,
Radio,COM,0,1,SingleQuestion,You are working on a Real Estate project. Project is nearing to completion and customer requests you to include an additional facility in the project`s final product. The BEST course of action is to:,,,"[Qno: PML_2033] >> Option 1 is the best available choice. <BR>Option 2 and option 3 are not recommended, because this requirement was not in the initial scope of work. Agreeing to include this requirement now will impact your project deliverables. <BR>Option 4 assumes that you know more about the business needs than the customer and this may not be true. ",,,,
,,,,,,1, Take the requirement through the change control process,,,,,
,,,,,,," Include the feature, as it will improve customer satisfaction",,,,,
,,,,,,, Include the feature -- otherwise the product will not be accepted by the customer,,,,,
,,,,,,, Talk with the customer and explain that the new feature does not make business sense,,,,,
Radio,COM,0,1,SingleQuestion,You have recently completed the distribute information process. What is output of the this process?,,,[Qno: PML_2044] >> ,,,,
,,,,,,,Performance reports,,,,,
,,,,,,1,Organization Process Assets Update,,,,,
,,,,,,,Enterprise Environmental Factor Update,,,,,
,,,,,,,Stakeholder Register,,,,,
Radio,COM,0,1,SingleQuestion,Which tool is used to compare the difference between the baseline and actual performance determine the cause of variance.,,,[Qno: PML_2243] >> ,,,,
,,,,,,,Forecasting,,,,,
,,,,,,,Issue Analysis,,,,,
,,,,,,,Simulation,,,,,
,,,,,,1,Variance Analysis,,,,,
Radio,COM,0,1,SingleQuestion,"If a customer requests for additional work that is not in the contract, then what type of communication the customer should use?",,,[Qno: PML_2246] >> ,,,,
,,,,,,,Verbal,,,,,
,,,,,,1,Formal Written,,,,,
,,,,,,,Informal Verbal,,,,,
,,,,,,,Feedback,,,,,
Radio,COM,0,1,SingleQuestion,You have recently sent one status report to your sponsor. What was the purpose of that?,,,[Qno: PML_2249] >> ,,,,
,,,,,,,Create status report,,,,,
,,,,,,,Get the status from each team member,,,,,
,,,,,,,Review of the activities,,,,,
,,,,,,1,Exchange information about the project.,,,,,
Radio,COM,0,1,SingleQuestion,Phone call and Video Conferencing are ,,,[Qno: PML_2250] >> ,,,,
,,,,,,,Pull Communication,,,,,
,,,,,,1,Interactive Communications,,,,,
,,,,,,,Push Communication,,,,,
,,,,,,,Noise,,,,,
Radio,COM,0,1,SingleQuestion,"As a project manager, you realize that managing project stakeholder expectations is an important priority. Which statement on project stakeholders is NOT correct?",,,"[Qno: PML_2454] >> Overlooking negative stakeholders can result in an increased difficulty level in your project. Reference: PMBOK(r) Guide Fourth Edition, Page 24",,,,
,,,,,,,Stakeholders has varying degree of responsibilities and it keep changing throughout the project life cycle.,,,,,
,,,,,,1,Negative stakeholders can be ignored because they are not useful for meeting the project objective.,,,,,
,,,,,,,"Government agencies, political parties, trade unions, local citizens can be stakeholders on your project.",,,,,
,,,,,,,Because of conflicting objectives it is very difficult to manage the expectations of stakeholders.,,,,,
Radio,COM,0,1,SingleQuestion,What are the contents of stakeholder register?,,,"[Qno: PML_2482] >>  Reference: PMBOK(r) Guide Fourth Edition, Page Number:243",,,,
,,,,,,1,"Stakeholder interests, involvement, and impact on project success",,,,,
,,,,,,,Their requirements and how to address them,,,,,
,,,,,,,List of all the issues of the stakeholders and responsibility assignment for those issues,,,,,
,,,,,,,Stakeholder needs and communication approach,,,,,
Radio,COM,0,1,SingleQuestion,Stakeholder Register is,,,[Qno: PML_2627] >> ,,,,
,,,,,,1,Input/Output,,,,,
,,,,,,,Tool Technique,,,,,
,,,,,,,Process name,,,,,
,,,,,,,All of above,,,,,
Radio,FW,0,1,SingleQuestion,Which of these is not a valid knowledge area as per PMI?,,,[Qno: PML_761] >> Stakeholder Management is not a valid Knowledge Area.,,,,
,,,,,,1,Stakeholder Management.,,,,,
,,,,,,,Integration Management.,,,,,
,,,,,,,Risk Management.,,,,,
,,,,,,,Procurement Management,,,,,
Radio,FW,0,1,SingleQuestion,"Which organization , the project manager has total control of projects?",,,[Qno: PML_791] >> Projectized organization : The project manager has total control of projects. People are assigned and report to a project manager.,,,,
,,,,,,,Balanced Matrix organization,,,,,
,,,,,,1,Projectized organization,,,,,
,,,,,,,Strong Matrix,,,,,
,,,,,,,Weak Matrix organization,,,,,
Radio,FW,0,1,SingleQuestion,You are working on internal projects for your company. You are into requirement definition for new automation system that will enable employees to work from home. Management does not want to outsource this project and your team has been assigned to some high value external project. What is true?,,,[Qno: PML_1033] >> ,,,,
,,,,,,,The project ended due because of management support,,,,,
,,,,,,,The project ended due to starvation of funds,,,,,
,,,,,,1,The project ended due to change of organizational priority,,,,,
,,,,,,,The project ended due to integration issues,,,,,
Radio,FW,0,1,SingleQuestion,Which of the following processes is NOT in the Initiating process group?,,,[Qno: PML_1185] >> ,,,,
,,,,,,,Develop Project Charter,,,,,
,,,,,,1,Develop Project Management Plan,,,,,
,,,,,,,Identify Stakeholders,,,,,
,,,,,,,None of the above,,,,,
Radio,FW,0,1,SingleQuestion,Alan was working with a service delivery company and he recently joined a product development company. Here he notices that the work is being managed in a very different way. The products have scheduled releases and all the project managers are managing individual product releases of a software product along with co-ordination of these releases over time. The following best describes this situation: ,,,[Qno: PML_1996] >> ,,,,
,,,,,,,"This is project management , they are working using agile methodology",,,,,
,,,,,,,This is operations management. Since this is ongoing activity in the organization.,,,,,
,,,,,,,This is portfolio management since each product release is a program in itself.,,,,,
,,,,,,1,This is program management since each release is separate project and individual project&rsquo;s release impacts the product release.,,,,,
Radio,FW,0,1,SingleQuestion,"In your organization, all big technical projects go through Initiate, Analyze, Design, Implement, Test, and Closeout. Sum of all phases in project is called-----",,,[Qno: PML_2028] >> A project life cycle is a collection of generally sequential and sometimes overlapping project phases.,,,,
,,,,,,1,Project Lifecycle,,,,,
,,,,,,,Product Lifecycle,,,,,
,,,,,,,Program Lifecycle,,,,,
,,,,,,,Delivery Cycle,,,,,
Radio,FW,0,1,SingleQuestion,Recently a new project is assigned to you. You are in planning phase and want as much information as possible for the type of projects in your hand. What shall you do?,,,[Qno: PML_2225] >> ,,,,
,,,,,,1,Refer historical information in organizational process assets,,,,,
,,,,,,,Refer WBS,,,,,
,,,,,,,Refer contract and business plan of the project,,,,,
,,,,,,,Refer project closure document of the project,,,,,
Radio,FW,0,1,SingleQuestion,"You are the project manager of a global project having team members in the US and India. The client has a budget not exceeding $5 million. Due to global concerns, the final budget must be in the U.S. dollars. This is an example of which of the following?",,,[Qno: PML_2228] >> Second part of the question is irrelevant to question.,,,,
,,,,,,,Internationalization,,,,,
,,,,,,,Management constraint,,,,,
,,,,,,1,Budget constraint,,,,,
,,,,,,,Technical constraint,,,,,
Radio,FW,0,1,SingleQuestion,"You are working in an organization where all the employees are divided into groups by specialty such as sales, support and engineering. In which type of organization you are working in ?",,,[Qno: PML_2236] >> ,,,,
,,,,,,,Strong matrix,,,,,
,,,,,,,Weak matrix,,,,,
,,,,,,1,Functional,,,,,
,,,,,,,Tight Matrix,,,,,
Radio,FW,0,1,SingleQuestion,Which of these is not organizational process assets,,,[Qno: PML_2426] >> ,,,,
,,,,,,,Templates,,,,,
,,,,,,,Tailoring guidelines,,,,,
,,,,,,,Project closure guidelines,,,,,
,,,,,,1,Market conditions,,,,,
Radio,FW,0,1,SingleQuestion,A program is which one of the following?,,,"[Qno: PML_2434] >> A is incorrect because programs are not made up of just small projects. <BR>B is incorrect because a program is a collection of projects, not just one large complex project. <BR>C is incorrect since projects with a common customer do not necessitate a program.",,,,
,,,,,,,A collection of small projects with a common goal,,,,,
,,,,,,,"A very large, complex project",,,,,
,,,,,,,A collection of subprojects with a common customer,,,,,
,,,,,,1,A collection of projects with a common cause,,,,,
Radio,FW,0,1,SingleQuestion,You CEO told you that you have to complete the project in three months using only four resources. This is an example of:,,,[Qno: PML_2462] >> Limits on what options you have to complete the project are called constraints.,,,,
,,,,,,,Earned Value Analysis components,,,,,
,,,,,,,Benefit cost rations,,,,,
,,,,,,1,Constraints,,,,,
,,,,,,,Law of diminishing returns,,,,,
Radio,FW,0,1,SingleQuestion,All businesses are in business to,,,[Qno: PML_2466] >> Businesses exist to make money.,,,,
,,,,,,1,Make money,,,,,
,,,,,,,To realize their vision statement,,,,,
,,,,,,,To work on their mission,,,,,
,,,,,,,Provide jobs and opportunities for others,,,,,
Radio,FW,0,1,SingleQuestion,Which of the knowledge areas does not have any planning process,,,[Qno: PML_2610] >> ,,,,
,,,,,,,Project Quality Management,,,,,
,,,,,,,Project Risk Management,,,,,
,,,,,,,Project Time Management,,,,,
,,,,,,1,None of the Above is true,,,,,
Radio,FW,0,1,SingleQuestion,PMBok is,,,[Qno: PML_2616] >> ,,,,
,,,,,,1,Project Management Standard,,,,,
,,,,,,,Project Management Rule Book,,,,,
,,,,,,,Project Management Process Booklet,,,,,
,,,,,,,only for IT Project,,,,,
Radio,FW,0,1,SingleQuestion,Project is not about,,,[Qno: PML_2618] >> ,,,,
,,,,,,,Temporary Endeavour,,,,,
,,,,,,,Has progressive elaboration,,,,,
,,,,,,,Involves resources,,,,,
,,,,,,1,Maintains the status quo,,,,,
Radio,FW,0,1,SingleQuestion,Expert judgement is tool technique of ----- process,,,[Qno: PML_2623] >> ,,,,
,,,,,,1,Estimate Cost,,,,,
,,,,,,,Collect Requirement,,,,,
,,,,,,,Create WBS,,,,,
,,,,,,,Estimate Activity Resources,,,,,
Radio,FW,0,1,SingleQuestion,Which process group has maximum number of processes,,,[Qno: PML_2624] >> ,,,,
,,,,,,,Project Initiation,,,,,
,,,,,,1,Project Planning,,,,,
,,,,,,,Project Executing,,,,,
,,,,,,,Project Monitoring & Controlling,,,,,
Radio,FW,0,1,SingleQuestion,Which of these is program manager,,,[Qno: PML_2625] >> ,,,,
,,,,,,,Individual who manages 20 different projects,,,,,
,,,,,,1,Individual who manages 5 different but interconnected projects,,,,,
,,,,,,,Individual who is responsible for optimizing the profit in project,,,,,
,,,,,,,Individual who is managing all human resources,,,,,
Radio,FW,0,1,SingleQuestion,How many project management process are there in PMBoK 4th Edition?,,,[Qno: PML_2626] >> ,,,,
,,,,,,,20,,,,,
,,,,,,,44,,,,,
,,,,,,1,42,,,,,
,,,,,,,None of the above,,,,,
Radio,FW,0,1,SingleQuestion,Which one is not part of closing process,,,[Qno: PML_2616] >> Team member exit is even possible when he is taken out from the project while project is in execution phase.,,,,
,,,,,,,Contract closure,,,,,
,,,,,,,Final reporting,,,,,
,,,,,,,Lessons learned,,,,,
,,,,,,1,Exit interview,,,,,
Radio,FW,0,1,SingleQuestion,The planning processes are,,,[Qno: PML_2617] >> ,,,,
